EmployeeKey,FirstName,LastName,MiddleName,HireDate,BirthDate,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status
137,Benjamin,Martin,R,8/27/2008,8/5/1985,benjamin0@adventure-works.com,533-555-0111,S,Benjamin Martin,533-555-0111,0,M,1,9.5,28,34,1,0,Production,8/27/2008,NULL,Current
138,Cynthia,Randall,S,8/27/2008,3/18/1981,cynthia0@adventure-works.com,352-555-0138,S,Cynthia Randall,352-555-0138,0,F,2,25,69,54,1,0,Production,8/27/2008,NULL,Current
139,Kathie,Flood,E,8/27/2008,6/1/1990,kathie0@adventure-works.com,446-555-0118,M,Kathie Flood,446-555-0118,0,F,1,10,87,63,1,0,Production,8/27/2008,NULL,Current
140,Britta,Simon,L,8/29/2008,4/28/1989,britta0@adventure-works.com,955-555-0169,M,Britta Simon,955-555-0169,0,F,1,12.45,14,27,1,0,Production,8/29/2008,NULL,Current
141,Brian,Lloyd,T,8/29/2008,9/10/1976,brian0@adventure-works.com,110-555-0182,S,Brian Lloyd,110-555-0182,0,M,1,15,55,47,1,0,Production,8/29/2008,NULL,Current
142,David,Liu,J,8/30/2008,2/5/1983,david6@adventure-works.com,646-555-0185,M,David Liu,646-555-0185,1,M,2,34.7356,57,48,1,0,Finance,8/30/2008,NULL,Current
143,Laura,Norman,F,8/31/2008,8/6/1975,laura1@adventure-works.com,615-555-0110,M,Laura Norman,615-555-0110,1,F,2,60.0962,0,20,1,0,Executive,8/31/2008,6/13/2013,NULL
144,Laura,Norman,F,8/31/2008,8/6/1975,laura1@adventure-works.com,615-555-0110,M,Laura Norman,615-555-0110,1,F,2,60.0962,0,20,1,0,Executive,6/13/2013,NULL,Current
145,Michael,Patten,W,8/31/2008,12/1/1973,michael2@adventure-works.com,441-555-0195,S,Michael Patten,441-555-0195,0,M,1,11,98,69,1,0,Production,8/31/2008,NULL,Current
146,Andy,Ruth,M,8/31/2008,5/20/1983,andy0@adventure-works.com,118-555-0110,M,Andy Ruth,118-555-0110,0,M,1,9.5,39,39,1,0,Production,8/31/2008,NULL,Current
147,Yuhong,Li,L,9/1/2008,11/4/1976,yuhong0@adventure-works.com,965-555-0155,M,Yuhong Li,965-555-0155,0,M,2,25,41,40,1,0,Production,9/1/2008,NULL,Current
148,Robert,Rounthwaite,J,9/2/2008,9/28/1984,robert0@adventure-works.com,589-555-0147,S,Robert Rounthwaite,589-555-0147,0,M,1,10,82,61,1,0,Production,9/2/2008,NULL,Current
149,Andreas,Berglund,T,9/2/2008,10/26/1988,andreas0@adventure-works.com,181-555-0124,M,Andreas Berglund,181-555-0124,0,M,2,10.5769,84,62,1,0,Quality Assurance,9/2/2008,NULL,Current
150,Reed,Koch,T,9/2/2008,8/8/1988,reed0@adventure-works.com,678-555-0110,M,Reed Koch,678-555-0110,0,M,1,9.5,23,31,1,0,Production,9/2/2008,NULL,Current
151,Linda,Randall,A,9/3/2008,5/5/1977,linda1@adventure-works.com,696-555-0157,S,Linda Randall,696-555-0157,0,F,1,14,12,26,1,0,Production,9/3/2008,NULL,Current
152,James,Hamilton,R,9/3/2008,2/4/1988,james1@adventure-works.com,870-555-0122,S,James Hamilton,870-555-0122,1,M,2,84.1346,64,52,1,0,Production,9/3/2008,NULL,Current
153,Ramesh,Meyyappan,V,9/3/2008,10/12/1987,ramesh0@adventure-works.com,182-555-0134,S,Ramesh Meyyappan,182-555-0134,1,M,2,27.4038,73,56,1,0,Information Services,9/3/2008,NULL,Current
154,Stephanie,Conroy,A,9/4/2008,10/24/1983,stephanie0@adventure-works.com,594-555-0110,S,Stephanie Conroy,594-555-0110,1,F,2,39.6635,68,54,1,0,Information Services,9/4/2008,NULL,Current
155,Samantha,Smith,H,9/4/2008,6/22/1987,samantha0@adventure-works.com,587-555-0114,M,Samantha Smith,587-555-0114,0,F,1,14,7,23,1,0,Production,9/4/2008,NULL,Current
156,Tawana,Nusbaum,G,9/5/2008,6/10/1989,tawana0@adventure-works.com,368-555-0113,S,Tawana Nusbaum,368-555-0113,0,M,1,15,50,45,1,0,Production,9/5/2008,NULL,Current
157,Denise,Smith,H,9/5/2008,2/4/1988,denise0@adventure-works.com,869-555-0119,M,Denise Smith,869-555-0119,0,F,1,11,9,24,1,0,Production,9/5/2008,NULL,Current
158,Hao,Chen,O,9/6/2008,11/15/1976,hao0@adventure-works.com,806-555-0136,S,Hao Chen,806-555-0136,0,M,2,13.9423,52,46,1,0,Human Resources,9/6/2008,NULL,Current
159,Alex,Nayberg,M,9/8/2008,11/11/1989,alex0@adventure-works.com,819-555-0198,M,Alex Nayberg,819-555-0198,0,M,1,10,77,58,1,0,Production,9/8/2008,NULL,Current
160,Eugene,Kogan,O,9/8/2008,9/10/1975,eugene1@adventure-works.com,173-555-0179,S,Eugene Kogan,173-555-0179,0,M,1,12.45,36,38,1,0,Production,9/8/2008,NULL,Current
161,Brandon,Heidepriem,G,9/8/2008,8/10/1976,brandon0@adventure-works.com,429-555-0137,M,Brandon Heidepriem,429-555-0137,0,M,1,12.45,22,31,1,0,Production,9/8/2008,NULL,Current
162,Dylan,Miller,A,9/8/2008,9/24/1986,dylan0@adventure-works.com,181-555-0156,M,Dylan Miller,181-555-0156,1,M,2,50.4808,61,50,1,0,Research and Development,9/8/2008,NULL,Current
163,Shane,Kim,S,9/8/2008,12/22/1989,shane0@adventure-works.com,810-555-0178,S,Shane Kim,810-555-0178,0,M,2,25,75,57,1,0,Production,9/8/2008,NULL,Current
164,John,Chen,Y,9/9/2008,11/3/1985,john2@adventure-works.com,201-555-0163,M,John Chen,201-555-0163,0,M,1,14,18,29,1,0,Production,9/9/2008,NULL,Current
165,Karen,Berge,R,9/9/2008,7/25/1975,karen0@adventure-works.com,746-555-0164,M,Karen Berge,746-555-0164,0,F,2,10.25,79,59,1,0,Document Control,9/9/2008,NULL,Current
166,Jose,Lugo,R,9/10/2008,2/29/1984,jose0@adventure-works.com,587-555-0115,M,Jose Lugo,587-555-0115,0,M,1,12.45,20,30,1,0,Production,9/10/2008,NULL,Current
167,Mandar,Samant,H,9/10/2008,10/19/1985,mandar0@adventure-works.com,140-555-0132,S,Mandar Samant,140-555-0132,0,M,1,11,0,20,1,0,Production,9/10/2008,NULL,Current
168,Mikael,Sandberg,Q,9/10/2008,3/17/1984,mikael0@adventure-works.com,309-555-0170,S,Mikael Sandberg,309-555-0170,0,M,2,18.2692,59,49,1,0,Purchasing,9/10/2008,NULL,Current
169,Sameer,Tejani,A,9/11/2008,1/24/1978,sameer0@adventure-works.com,990-555-0172,M,Sameer Tejani,990-555-0172,0,M,1,11,4,22,1,0,Production,9/11/2008,NULL,Current
170,Dragan,Tomic,K,9/11/2008,9/14/1976,dragan0@adventure-works.com,117-555-0185,M,Dragan Tomic,117-555-0185,0,M,2,19,63,51,1,0,Finance,9/11/2008,NULL,Current
171,Carol,Philips,M,9/12/2008,5/17/1988,carol0@adventure-works.com,609-555-0153,M,Carol Philips,609-555-0153,0,F,1,9.5,45,42,1,0,Production,9/12/2008,NULL,Current
172,Rob,Caron,T,9/13/2008,3/4/1973,rob1@adventure-works.com,238-555-0116,S,Rob Caron,238-555-0116,0,M,1,15,71,55,1,0,Production,9/13/2008,NULL,Current
173,Don,Hall,L,9/13/2008,1/11/1971,don0@adventure-works.com,100-555-0174,M,Don Hall,100-555-0174,0,M,1,11,88,64,1,0,Production,9/13/2008,NULL,Current
174,Alan,Brewer,J,9/13/2008,10/28/1983,alan0@adventure-works.com,438-555-0172,M,Alan Brewer,438-555-0172,0,M,2,16,47,43,1,0,Production Control,9/13/2008,NULL,Current
175,David,Lawrence,Oliver,9/14/2008,4/23/1985,david7@adventure-works.com,118-555-0177,M,David Lawrence,118-555-0177,0,M,1,9.5,29,34,1,0,Production,9/14/2008,NULL,Current
176,Baris,Cetinok,F,9/15/2008,5/7/1990,baris0@adventure-works.com,164-555-0114,S,Baris Cetinok,164-555-0114,0,M,1,15,72,56,1,0,Production,9/15/2008,NULL,Current
177,Michael,Ray,Sean,9/15/2008,8/29/1988,michael3@adventure-works.com,156-555-0199,S,Michael Ray,156-555-0199,0,M,2,25,70,55,1,0,Production,9/15/2008,NULL,Current
178,Steve,Masters,F,9/15/2008,11/4/1990,steve0@adventure-works.com,712-555-0170,S,Steve Masters,712-555-0170,0,M,1,12.45,31,35,1,0,Production,9/15/2008,NULL,Current
179,Suchitra,Mohan,O,9/16/2008,1/8/1987,suchitra0@adventure-works.com,753-555-0129,M,Suchitra Mohan,753-555-0129,0,F,1,12.45,15,27,1,0,Production,9/16/2008,NULL,Current
180,Karen,Berg,A,9/16/2008,12/17/1977,karen1@adventure-works.com,654-555-0177,S,Karen Berg,654-555-0177,1,F,2,27.4038,74,57,1,0,Information Services,9/16/2008,NULL,Current
181,Terrence,Earls,W,9/16/2008,7/8/1984,terrence0@adventure-works.com,110-555-0115,S,Terrence Earls,110-555-0115,0,M,1,14,13,26,1,0,Production,9/16/2008,NULL,Current
182,Barbara,Moreland,C,9/18/2008,8/4/1975,barbara1@adventure-works.com,822-555-0145,M,Barbara Moreland,822-555-0145,1,F,2,26.4423,58,49,1,0,Finance,9/18/2008,NULL,Current
183,Chad,Niswonger,W,9/18/2008,3/4/1990,chad0@adventure-works.com,559-555-0175,M,Chad Niswonger,559-555-0175,0,M,1,11,99,69,1,0,Production,9/18/2008,NULL,Current
184,Rostislav,Shabalin,E,9/19/2008,4/13/1977,rostislav0@adventure-works.com,751-555-0134,M,Rostislav Shabalin,751-555-0134,0,M,1,9.5,40,40,1,0,Production,9/19/2008,NULL,Current
185,Belinda,Newman,M,9/20/2008,10/15/1974,belinda0@adventure-works.com,319-555-0126,S,Belinda Newman,319-555-0126,0,F,1,10,83,61,1,0,Production,9/20/2008,NULL,Current
186,Katie,McAskill-White,L,9/20/2008,6/18/1984,katie0@adventure-works.com,809-555-0133,S,Katie McAskill-White,809-555-0133,0,F,2,25,42,41,1,0,Production,9/20/2008,NULL,Current
187,Russell,King,M,9/21/2008,9/11/1981,russell1@adventure-works.com,517-555-0122,M,Russell King,517-555-0122,0,M,1,9.5,24,32,1,0,Production,9/21/2008,NULL,Current
188,Jack,Richins,S,9/21/2008,1/20/1983,jack0@adventure-works.com,552-555-0111,S,Jack Richins,552-555-0111,0,M,2,25,68,54,1,0,Production,9/21/2008,NULL,Current
189,Andrew,Hill,R,9/22/2008,4/6/1988,andrew0@adventure-works.com,908-555-0159,S,Andrew Hill,908-555-0159,0,M,2,25,65,52,1,0,Production,9/22/2008,NULL,Current
190,Nicole,Holliday,B,9/22/2008,11/7/1985,nicole0@adventure-works.com,508-555-0129,M,Nicole Holliday,508-555-0129,0,F,1,15,67,53,1,0,Production,9/22/2008,NULL,Current
191,Frank,Miller,T,9/23/2008,2/21/1971,frank1@adventure-works.com,167-555-0139,S,Frank Miller,167-555-0139,0,M,1,11,10,25,1,0,Production,9/23/2008,NULL,Current
192,Peter,Connelly,I,9/23/2008,12/27/1979,peter1@adventure-works.com,310-555-0133,S,Peter Connelly,310-555-0133,0,M,2,32.4519,69,54,1,0,Information Services,9/23/2008,NULL,Current
193,Anibal,Sousa,T,9/23/2008,4/5/1974,anibal0@adventure-works.com,106-555-0120,S,Anibal Sousa,106-555-0120,0,F,1,14,8,24,1,0,Production,9/23/2008,NULL,Current
194,Ken,Myer,L,9/24/2008,12/26/1980,ken1@adventure-works.com,949-555-0174,M,Ken Myer,949-555-0174,0,M,1,15,51,45,1,0,Production,9/24/2008,NULL,Current
195,Grant,Culbertson,N,9/25/2008,11/15/1975,grant0@adventure-works.com,955-555-0131,S,Grant Culbertson,955-555-0131,0,M,2,13.9423,53,46,1,0,Human Resources,9/25/2008,NULL,Current
196,Michael,Entin,T,9/25/2008,1/13/1989,michael4@adventure-works.com,817-555-0186,S,Michael Entin,817-555-0186,0,M,1,11,94,67,1,0,Production,9/25/2008,NULL,Current
197,Lionel,Penuchot,C,9/26/2008,10/13/1987,lionel0@adventure-works.com,450-555-0152,S,Lionel Penuchot,450-555-0152,0,M,1,10,78,59,1,0,Production,9/26/2008,NULL,Current
198,Thomas,Michaels,R,9/26/2008,8/10/1985,thomas0@adventure-works.com,278-555-0118,M,Thomas Michaels,278-555-0118,0,M,1,12.45,37,38,1,0,Production,9/26/2008,NULL,Current
199,Jimmy,Bischoff,T,9/26/2008,6/1/1990,jimmy0@adventure-works.com,927-555-0168,M,Jimmy Bischoff,927-555-0168,0,M,1,9,96,68,1,0,Shipping and Receiving,9/26/2008,NULL,Current
200,Michael,Vanderhyde,T,9/26/2008,4/18/1982,michael5@adventure-works.com,296-555-0121,M,Michael Vanderhyde,296-555-0121,0,M,1,9.5,35,37,1,0,Production,9/26/2008,NULL,Current
201,Lori,Kane,A,9/26/2008,2/16/1980,lori0@adventure-works.com,289-555-0196,S,Lori Kane,289-555-0196,0,F,2,25,76,58,1,0,Production,9/26/2008,NULL,Current
202,Arvind,Rao,B,9/28/2008,3/21/1974,arvind0@adventure-works.com,848-555-0163,M,Arvind Rao,848-555-0163,0,M,2,18.2692,60,50,1,0,Purchasing,9/28/2008,NULL,Current
203,Stefen,Hesse,A,9/28/2008,7/21/1975,stefen0@adventure-works.com,165-555-0113,S,Stefen Hesse,165-555-0113,0,M,1,14,19,29,1,0,Production,9/28/2008,NULL,Current
204,Hazem,Abolrous,E,9/28/2008,5/26/1977,hazem0@adventure-works.com,869-555-0125,S,Hazem Abolrous,869-555-0125,1,M,2,28.8462,80,60,1,0,Quality Assurance,9/28/2008,NULL,Current
205,Janet,Sheperdigian,L,9/29/2008,10/7/1978,janet0@adventure-works.com,393-555-0186,M,Janet Sheperdigian,393-555-0186,0,F,2,19,64,52,1,0,Finance,9/29/2008,NULL,Current
206,Elizabeth,Keyser,I,9/30/2008,8/25/1989,elizabeth0@adventure-works.com,318-555-0137,M,Elizabeth Keyser,318-555-0137,0,F,1,11,5,22,1,0,Production,9/30/2008,NULL,Current
207,Terry,Eminhizer,J,9/30/2008,9/4/1985,terry0@adventure-works.com,138-555-0118,M,Terry Eminhizer,138-555-0118,0,M,2,14.4231,44,42,1,0,Marketing,9/30/2008,NULL,Current
208,John,Frum,N,10/1/2008,10/22/1981,john3@adventure-works.com,663-555-0172,S,John Frum,663-555-0172,0,M,1,9.5,27,33,1,0,Production,10/1/2008,NULL,Current
209,Merav,Netz,A,10/1/2008,12/11/1982,merav0@adventure-works.com,224-555-0187,M,Merav Netz,224-555-0187,0,F,1,9.5,46,43,1,0,Production,10/1/2008,NULL,Current
210,Brian,LaMee,P,10/1/2008,3/11/1984,brian1@adventure-works.com,313-555-0196,M,Brian LaMee,313-555-0196,0,M,2,16,48,44,1,0,Production Control,10/1/2008,NULL,Current
211,Kitti,Lertpiriyasuwat,H,10/2/2008,1/4/1987,kitti0@adventure-works.com,785-555-0132,S,Kitti Lertpiriyasuwat,785-555-0132,0,F,1,11,89,64,1,0,Production,10/2/2008,NULL,Current
212,Jay,Adams,G,10/3/2008,9/11/1975,jay0@adventure-works.com,407-555-0165,S,Jay Adams,407-555-0165,0,M,1,12.45,32,36,1,0,Production,10/3/2008,NULL,Current
213,Jan,Miksovsky,S,10/3/2008,6/15/1974,jan0@adventure-works.com,139-555-0131,S,Jan Miksovsky,139-555-0131,0,M,1,9.5,30,35,1,0,Production,10/3/2008,NULL,Current
214,Brenda,Diaz,M,10/3/2008,9/28/1982,brenda0@adventure-works.com,142-555-0139,M,Brenda Diaz,142-555-0139,0,F,2,25,71,55,1,0,Production,10/3/2008,NULL,Current
215,Andrew,Cencini,M,10/4/2008,4/24/1988,andrew1@adventure-works.com,207-555-0192,S,Andrew Cencini,207-555-0192,0,M,1,10,73,56,1,0,Production,10/4/2008,NULL,Current
216,Chris,Norred,K,10/4/2008,12/24/1986,chris1@adventure-works.com,575-555-0126,M,Chris Norred,575-555-0126,0,M,2,16.8269,75,57,1,0,Document Control,10/4/2008,NULL,Current
217,Chris,Okelberry,O,10/5/2008,3/7/1986,chris2@adventure-works.com,315-555-0144,S,Chris Okelberry,315-555-0144,0,M,1,12.45,16,28,1,0,Production,10/5/2008,NULL,Current
218,Shelley,Dyck,N,10/5/2008,7/8/1986,shelley0@adventure-works.com,991-555-0184,S,Shelley Dyck,991-555-0184,0,F,1,14,14,27,1,0,Production,10/5/2008,NULL,Current
219,Gabe,Mares,B,10/6/2008,12/9/1987,gabe0@adventure-works.com,310-555-0117,M,Gabe Mares,310-555-0117,0,M,1,15,57,48,1,0,Production,10/6/2008,NULL,Current
220,Mike,Seamans,K,10/6/2008,1/29/1979,mike0@adventure-works.com,927-555-0150,S,Mike Seamans,927-555-0150,1,M,2,26.4423,59,49,1,0,Finance,10/6/2008,NULL,Current
221,Michael,Raheem,NULL,12/1/2008,6/30/1984,michael6@adventure-works.com,330-555-2568,M,Michael Raheem,330-555-2568,1,M,2,42.4808,16,64,1,0,Research and Development,12/1/2008,NULL,Current
222,Gary,Altman,E.,7/2/2009,9/18/1970,gary1@adventure-works.com,110-555-0112,M,Gary Altman,110-555-0112,1,M,2,24.0385,86,63,1,0,Facilities and Maintenance,7/2/2009,NULL,Current
223,Charles,Fitzgerald,B,7/3/2009,4/2/1971,charles0@adventure-works.com,931-555-0118,S,Charles Fitzgerald,931-555-0118,0,M,1,12.45,27,33,1,0,Production,7/3/2009,NULL,Current
224,Ebru,Ersan,N,7/6/2009,4/22/1986,ebru0@adventure-works.com,202-555-0187,S,Ebru Ersan,202-555-0187,0,M,1,13.45,93,66,1,0,Production,7/6/2009,NULL,Current
225,Sylvester,Valdez,A,7/11/2009,6/12/1970,sylvester0@adventure-works.com,492-555-0174,M,Sylvester Valdez,492-555-0174,0,M,1,14,4,22,1,0,Production,7/11/2009,NULL,Current
226,Brian,Goldstein,Richard,7/11/2009,7/23/1970,brian2@adventure-works.com,730-555-0117,S,Brian Goldstein,730-555-0117,0,M,1,15,63,51,1,0,Production,7/11/2009,NULL,Current
227,Linda,Meisner,P,7/17/2009,6/30/1970,linda2@adventure-works.com,916-555-0165,M,Linda Meisner,916-555-0165,0,F,2,18.2692,56,48,1,0,Purchasing,7/17/2009,NULL,Current
228,Betsy,Stadick,A,7/18/2009,7/17/1942,betsy0@adventure-works.com,405-555-0171,S,Betsy Stadick,405-555-0171,0,F,1,13.45,99,69,1,0,Production,7/18/2009,NULL,Current
229,Magnus,Hedlund,E,7/21/2009,3/27/1971,magnus0@adventure-works.com,583-555-0182,M,Magnus Hedlund,583-555-0182,0,M,2,9.75,87,63,1,0,Facilities and Maintenance,7/21/2009,NULL,Current
230,Karan,Khanna,R,7/22/2009,10/5/1969,karan0@adventure-works.com,447-555-0186,S,Karan Khanna,447-555-0186,0,M,1,12.45,28,34,1,0,Production,7/22/2009,NULL,Current
231,Mary,Baker,R,7/25/2009,4/19/1986,mary1@adventure-works.com,283-555-0185,M,Mary Baker,283-555-0185,0,F,1,13.45,94,67,1,0,Production,7/25/2009,NULL,Current
232,Kevin,Homer,M,7/25/2009,4/19/1986,kevin2@adventure-works.com,555-555-0113,S,Kevin Homer,555-555-0113,0,M,1,13.45,90,65,1,0,Production,7/25/2009,NULL,Current
233,Mihail,Frintu,U,7/29/2009,10/7/1970,mihail0@adventure-works.com,733-555-0128,S,Mihail Frintu,733-555-0128,0,M,1,15,64,52,1,0,Production,7/29/2009,NULL,Current
234,Bonnie,Kearney,N,8/1/2009,4/10/1986,bonnie0@adventure-works.com,264-555-0150,M,Bonnie Kearney,264-555-0150,0,F,1,13.45,89,64,1,0,Production,8/1/2009,NULL,Current
235,Fukiko,Ogisu,J,8/4/2009,6/24/1970,fukiko0@adventure-works.com,520-555-0177,M,Fukiko Ogisu,520-555-0177,0,M,2,18.2692,57,48,1,0,Purchasing,8/4/2009,NULL,Current
236,Hung-Fu,Ting,T,8/6/2009,5/23/1971,hung-fu0@adventure-works.com,497-555-0181,S,Hung-Fu Ting,497-555-0181,0,M,1,14,0,20,1,0,Production,8/6/2009,NULL,Current
237,Gordon,Hee,L,8/11/2009,6/29/1942,gordon0@adventure-works.com,230-555-0144,M,Gordon Hee,230-555-0144,0,M,2,18.2692,52,46,1,0,Purchasing,8/11/2009,NULL,Current
238,Kimberly,Zimmerman,B,8/12/2009,4/13/1986,kimberly0@adventure-works.com,123-555-0167,S,Kimberly Zimmerman,123-555-0167,0,F,1,13.45,95,67,1,0,Production,8/12/2009,NULL,Current
239,Kim,Abercrombie,B,8/16/2009,7/14/1942,kim1@adventure-works.com,208-555-0114,M,Kim Abercrombie,208-555-0114,0,F,1,12.45,24,32,1,0,Production,8/16/2009,NULL,Current
240,Sandeep,Kaliyath,P,8/17/2009,7/3/1970,sandeep0@adventure-works.com,166-555-0156,S,Sandeep Kaliyath,166-555-0156,0,M,1,15,65,52,1,0,Production,8/17/2009,NULL,Current
241,Prasanna,Samarawickrama,E,8/22/2009,11/28/1952,prasanna0@adventure-works.com,129-555-0199,M,Prasanna Samarawickrama,129-555-0199,0,M,1,14,5,22,1,0,Production,8/22/2009,NULL,Current
242,Frank,Pellow,S,8/23/2009,12/11/1951,frank2@adventure-works.com,163-555-0147,M,Frank Pellow,163-555-0147,0,M,2,18.2692,58,49,1,0,Purchasing,8/23/2009,NULL,Current
243,Min,Su,G,8/24/2009,4/10/1974,min0@adventure-works.com,590-555-0152,M,Min Su,590-555-0152,0,M,1,14,1,20,1,0,Production,8/24/2009,NULL,Current
244,Eric,Brown,L,8/24/2009,7/8/1942,eric1@adventure-works.com,680-555-0118,M,Eric Brown,680-555-0118,0,M,1,15,60,50,1,0,Production,8/24/2009,NULL,Current
245,Eric,Kurjan,S,8/27/2009,4/17/1972,eric2@adventure-works.com,265-555-0195,S,Eric Kurjan,265-555-0195,0,M,2,18.2692,54,47,1,0,Purchasing,8/27/2009,NULL,Current
246,Pat,Coleman,H,8/27/2009,7/3/1970,pat0@adventure-works.com,720-555-0158,S,Pat Coleman,720-555-0158,0,M,1,9.25,89,64,1,0,Facilities and Maintenance,8/27/2009,NULL,Current
247,Maciej,Dusza,W,8/29/2009,8/30/1954,maciej0@adventure-works.com,237-555-0128,S,Maciej Dusza,237-555-0128,0,M,1,12.45,30,35,1,0,Production,8/29/2009,NULL,Current
248,Erin,Hagens,M,8/31/2009,8/4/1970,erin0@adventure-works.com,842-555-0158,S,Erin Hagens,842-555-0158,0,F,2,18.2692,53,46,1,0,Purchasing,8/31/2009,NULL,Current
249,Patrick,Wedge,C,9/1/2009,4/10/1986,patrick0@adventure-works.com,413-555-0124,S,Patrick Wedge,413-555-0124,0,M,1,13.45,96,68,1,0,Production,9/1/2009,NULL,Current
250,Frank,Martinez,R,9/5/2009,10/1/1951,frank3@adventure-works.com,203-555-0196,M,Frank Martinez,203-555-0196,0,M,1,15,66,53,1,0,Production,9/5/2009,NULL,Current
251,Ed,Dudenhoefer,R,9/5/2009,4/11/1971,ed0@adventure-works.com,919-555-0140,S,Ed Dudenhoefer,919-555-0140,0,M,1,12.45,25,32,1,0,Production,9/5/2009,NULL,Current
252,Christopher,Hill,E,9/8/2009,5/1/1986,christopher0@adventure-works.com,153-555-0166,M,Christopher Hill,153-555-0166,0,M,1,13.45,91,65,1,0,Production,9/8/2009,NULL,Current
253,Patrick,Cook,M,9/12/2009,7/23/1973,patrick1@adventure-works.com,425-555-0117,M,Patrick Cook,425-555-0117,0,M,1,15,61,50,1,0,Production,9/12/2009,NULL,Current
254,Krishna,Sunkammurali,NULL,9/13/2009,4/5/1971,krishna0@adventure-works.com,491-555-0183,S,Krishna Sunkammurali,491-555-0183,0,M,1,14,2,21,1,0,Production,9/13/2009,NULL,Current
255,Lori,Penor,K,9/16/2009,2/28/1970,lori1@adventure-works.com,295-555-0161,M,Lori Penor,295-555-0161,0,F,1,9.25,90,65,1,0,Facilities and Maintenance,9/16/2009,NULL,Current
256,Danielle,Tiedt,C,9/20/2009,4/7/1986,danielle0@adventure-works.com,500-555-0172,S,Danielle Tiedt,500-555-0172,0,F,1,13.45,97,68,1,0,Production,9/20/2009,NULL,Current
257,Sootha,Charncherngkha,T,9/23/2009,7/5/1942,sootha0@adventure-works.com,325-555-0137,M,Sootha Charncherngkha,325-555-0137,0,M,2,10.5769,85,62,1,0,Quality Assurance,9/23/2009,NULL,Current
258,Michael,Zwilling,J,9/23/2009,4/5/1973,michael7@adventure-works.com,582-555-0148,S,Michael Zwilling,582-555-0148,0,M,1,12.45,26,33,1,0,Production,9/23/2009,NULL,Current
259,Randy,Reeves,T,9/23/2009,11/26/1969,randy0@adventure-works.com,961-555-0122,M,Randy Reeves,961-555-0122,0,M,1,12.45,29,34,1,0,Production,9/23/2009,NULL,Current
260,John,Kane,T,9/27/2009,4/28/1986,john4@adventure-works.com,254-555-0114,S,John Kane,254-555-0114,0,M,1,13.45,92,66,1,0,Production,9/27/2009,NULL,Current
261,Jack,Creasey,T,10/1/2009,3/29/1973,jack1@adventure-works.com,521-555-0113,S,Jack Creasey,521-555-0113,0,M,1,15,62,51,1,0,Production,10/1/2009,NULL,Current
262,Olinda,Turner,C,10/2/2009,11/2/1969,olinda0@adventure-works.com,306-555-0186,S,Olinda Turner,306-555-0186,0,F,1,14,3,21,1,0,Production,10/2/2009,NULL,Current
263,Stuart,Macrae,J,10/3/2009,7/17/1971,stuart1@adventure-works.com,539-555-0149,M,Stuart Macrae,539-555-0149,0,M,1,9.25,88,64,1,0,Facilities and Maintenance,10/3/2009,NULL,Current
264,Jo,Berry,L,10/5/2009,11/22/1953,jo1@adventure-works.com,228-555-0159,M,Jo Berry,228-555-0159,0,F,1,9.25,91,65,1,0,Facilities and Maintenance,10/5/2009,NULL,Current
265,Ben,Miller,T,10/7/2009,1/1/1973,ben0@adventure-works.com,151-555-0113,M,Ben Miller,151-555-0113,0,M,2,18.2692,55,47,1,0,Purchasing,10/7/2009,NULL,Current
266,Tom,Vande Velde,M,10/8/2009,5/1/1986,tom0@adventure-works.com,295-555-0161,M,Tom Vande Velde,295-555-0161,0,M,1,13.45,98,69,1,0,Production,10/8/2009,NULL,Current
267,Ovidiu,Cracium,V,7/5/2010,8/17/1977,ovidiu0@adventure-works.com,719-555-0181,S,Ovidiu Cracium,719-555-0181,0,M,2,28.8462,7,23,1,0,Tool Design,7/5/2010,NULL,Current
268,Annette,Hill,L,7/6/2010,8/29/1977,annette0@adventure-works.com,125-555-0196,M,Annette Hill,125-555-0196,0,F,2,12.75,50,45,1,0,Purchasing,7/6/2010,NULL,Current
269,Janice,Galvin,M,7/23/2010,12/26/1988,janice0@adventure-works.com,473-555-0117,M,Janice Galvin,473-555-0117,0,F,2,25,8,24,1,0,Tool Design,7/23/2010,NULL,Current
270,Reinout,Hillmann,N,7/25/2010,8/17/1977,reinout0@adventure-works.com,370-555-0163,M,Reinout Hillmann,370-555-0163,0,M,2,12.75,51,45,1,0,Purchasing,7/25/2010,NULL,Current
271,Michael,Sullivan,I,7/30/2010,1/14/1979,michael8@adventure-works.com,465-555-0156,S,Michael Sullivan,465-555-0156,1,M,2,36.0577,3,21,1,0,Engineering,7/30/2010,NULL,Current
272,Stephen,Jiang,Y,8/4/2010,5/17/1951,stephen0@adventure-works.com,238-555-0197,M,Stephen Jiang,238-555-0197,1,M,2,48.101,14,27,1,1,Sales,8/4/2010,NULL,Current
273,Wanida,Benshoof,M,8/7/2010,10/15/1974,wanida0@adventure-works.com,708-555-0141,M,Wanida Benshoof,708-555-0141,0,F,2,13.4615,41,40,1,0,Marketing,8/7/2010,NULL,Current
